"Date","Price","Open","High","Low","Change %"
"Jan 03, 2014","1.3588","1.3672","1.3674","1.3582","-0.61"
"Jan 06, 2014","1.3628","1.3589","1.3653","1.3571","0.29"
"Jan 07, 2014","1.3616","1.3627","1.3657","1.3596","-0.09"
"Jan 08, 2014","1.3575","1.3617","1.3636","1.3554","-0.30"
"Jan 09, 2014","1.3609","1.3577","1.3636","1.3550","0.25"
"Jan 10, 2014","1.3670","1.3609","1.3689","1.3577","0.45"
"Jan 13, 2014","1.3672","1.3669","1.3685","1.3637","0.01"
"Jan 14, 2014","1.3679","1.3670","1.3699","1.3648","0.05"
"Jan 15, 2014","1.3605","1.3680","1.3684","1.3582","-0.54"
"Jan 16, 2014","1.3620","1.3604","1.3650","1.3582","0.11"
"Jan 17, 2014","1.3541","1.3620","1.3623","1.3517","-0.58"
"Jan 20, 2014","1.3552","1.3543","1.3570","1.3508","0.08"
"Jan 21, 2014","1.3561","1.3552","1.3571","1.3518","0.07"
"Jan 22, 2014","1.3548","1.3559","1.3584","1.3535","-0.10"
"Jan 23, 2014","1.3695","1.3547","1.3699","1.3530","1.09"
